Årgang,Farve,Vægt,Tophastighed,Sidst synet,Trækhjul,Kilometer,Nypris,Cylindre,Tank,0 - 100 km/t,Airbags,Grøn Ejerafgift,Lasteevne,Model,Gearkasse,Nummerplade,Hestekræfter,Biltype,Max. påhæng,Pris,Registreringsdato,Antal døre,Km/l,Brændstoftype,Antal gear
2017,Sølvmetal,955,155,,Forhjul,72.000,144.069,3,42,"15,3",7,660,495,"Toyota Yaris 1,0 VVT-i T2",Manuel,,69,Hatchback,730,98.800,13-01-2017,5,"23,3",Benzin,5
2008,,1.173,185,,Forhjul,115.000,301.283,4,62,"11,8",6,3.140,527,"Volvo C30 1,6 Kinetic",Manuel,,100,Hatchback,1.200,64.900,08-06-2007,3,"14,3",Benzin,5
2011,Koks,1.745,203,,Baghjul,358.000,736.801,4,59,"11,1",6,6.380,675,"Mercedes E200 2,2 CDi stc. aut. BE",Automatisk,,136,Stationcar,2.100,99.500,19-11-2010,5,"16,4",Diesel,5
2017,,1.786,,,Baghjul,150.000,344.894,4,57,,2,6.380,1.264,"Mercedes Vito 119 2,2 BlueTEC Standard aut. XL",Automatisk,,190,Varevogn,2.500,179.800,01-01-2017,,"17,2",Diesel,7
2012,Sortmetal,2.155,201,,Baghjul,239.000,967.894,6,75,"9,1",2,11.480,895,"Mercedes Viano 3,0 CDi Trend aut. lang",Automatisk,,224,MPV,2.000,299.800,22-12-2011,4,"11,6",Diesel,5
2001,Sort,1.025,191,,Baghjul,169.000,289.989,4,48,"9,7",2,4.360,225,Mazda MX-5,Manuel,,110,Cabriolet,,99.500,02-08-2001,2,"12,5",Benzin,5
2015,Brunmetal,1.063,180,,Forhjul,98.000,151.338,3,45,"11,9",6,660,602,"Opel Corsa 1,0 T 90 Enjoy",Manuel,,90,Hatchback,1.200,74.800,26-02-2015,3,"23,3",Benzin,6
2018,Hvid,934,162,,Forhjul,94.000,106.398,3,35,"14,4",4,660,396,"VW UP! 1,0 MPi 60 Take Up! BMT",Manuel,,60,Hatchback,,69.700,21-06-2017,5,"24,4",Benzin,5
2010,Rød,1.168,177,,Forhjul,77.000,199.997,4,48,11,6,2.520,512,"Kia Soul 1,6 CVVT Asian",Manuel,,126,Hatchback,1.300,69.500,27-08-2010,5,"15,4",Benzin,5
2015,Gråmetal,1.650,318,,4x4,60.000,4.520.375,6,68,"3,2",8,6.820,215,"Porsche 911 Turbo S 3,8 Cabriolet PDK",Automatisk,,560,Cabriolet,,12.900,24-03-2015,2,"10,1",Benzin,7
2008,Sortmetal,1.250,172,,Forhjul,93.000,198.751,4,45,"14,2",6,3.880,425,"Opel Corsa 1,3 CDTi 90 Sport MTA",Automatisk,,90,Hatchback,1.200,12.000,06-05-2008,3,"20,8",Diesel,6
2014,Gråmetal,1.158,168,,Forhjul,75.000,139.998,4,43,"13,1",6,660,402,"Kia Rio 1,2 CVVT Style+",Manuel,,86,Hatchback,900,69.500,25-08-2014,5,"21,3",Benzin,5
1998,Sølvmetal,700,140,,Forhjul,76.000,96.450,4,35,18,2,2.520,450,"Fiat Seicento 0,9 S",Manuel,,39,Hatchback,400,24.900,28-10-1998,3,"16,4",Benzin,5
2017,Sortmetal,1.945,250,,4x4,88.000,,6,70,"5,4",,4.960,555,"Audi SQ5 3,0 TFSi quattro Tiptr. Van",Automatisk,,354,Varevogn,2.400,569.900,01-11-2017,5,12,Benzin,8
2012,Sølvmetal,805,157,,Forhjul,180.000,101.988,3,35,"13,7",6,660,385,Citroën C1 Seduction,Manuel,,68,Hatchback,,29.900,28-08-2012,5,"23,3",Benzin,5
2013,Sølvmetal,1.046,168,,Forhjul,76.000,179.995,4,43,"13,1",6,660,514,"Kia Rio 1,2 CVVT Exclusive",Manuel,,86,Hatchback,900,69.500,05-03-2013,5,20,Benzin,5
2011,Koksmetal,1.552,160,,Forhjul,191.000,251.601,4,54,"16,9",6,4.680,413,"Opel Meriva 1,3 CDTi Enjoy",Manuel,,75,MPV,1.000,35.000,06-05-2011,5,"20,4",Diesel,5
2017,Sortmetal,1.945,250,,4x4,88.000,,6,70,"5,4",,4.960,555,"Audi SQ5 3,0 TFSi quattro Tiptr. Van",Automatisk,,354,Varevogn,2.400,499.900,01-11-2017,5,12,Benzin,8
2008,Orangemetal,1.025,163,,Forhjul,280.000,164.998,3,45,"14,9",6,1.880,540,"Skoda Fabia 1,2 12V Ambiente",Manuel,,70,Hatchback,800,9.900,16-05-2008,5,"16,9",Benzin,5
2019,Mørkgrå,1.847,233,,4x4,18.000,453.042,,,"4,6",6,660,333,Tesla Model 3 Long Range AWD,Automatisk,,351,Sedan,910,414.900,28-02-2019,4,"62,7",El,1
2017,Sølvmetal,955,155,,Forhjul,72.000,144.069,3,42,"15,3",7,660,495,"Toyota Yaris 1,0 VVT-i T2",Manuel,,69,Hatchback,730,98.800,13-01-2017,5,"23,3",Benzin,5
2008,,1.173,185,,Forhjul,115.000,301.283,4,62,"11,8",6,3.140,527,"Volvo C30 1,6 Kinetic",Manuel,,100,Hatchback,1.200,64.900,08-06-2007,3,"14,3",Benzin,5
2011,Koks,1.745,203,,Baghjul,358.000,736.801,4,59,"11,1",6,6.380,675,"Mercedes E200 2,2 CDi stc. aut. BE",Automatisk,,136,Stationcar,2.100,99.500,19-11-2010,5,"16,4",Diesel,5
2017,,1.786,,,Baghjul,150.000,344.894,4,57,,2,6.380,1.264,"Mercedes Vito 119 2,2 BlueTEC Standard aut. XL",Automatisk,,190,Varevogn,2.500,179.800,01-01-2017,,"17,2",Diesel,7
2012,Sortmetal,2.155,201,,Baghjul,239.000,967.894,6,75,"9,1",2,11.480,895,"Mercedes Viano 3,0 CDi Trend aut. lang",Automatisk,,224,MPV,2.000,299.800,22-12-2011,4,"11,6",Diesel,5
2001,Sort,1.025,191,,Baghjul,169.000,289.989,4,48,"9,7",2,4.360,225,Mazda MX-5,Manuel,,110,Cabriolet,,99.500,02-08-2001,2,"12,5",Benzin,5
2015,Brunmetal,1.063,180,,Forhjul,98.000,151.338,3,45,"11,9",6,660,602,"Opel Corsa 1,0 T 90 Enjoy",Manuel,,90,Hatchback,1.200,74.800,26-02-2015,3,"23,3",Benzin,6
2018,Hvid,934,162,,Forhjul,94.000,106.398,3,35,"14,4",4,660,396,"VW UP! 1,0 MPi 60 Take Up! BMT",Manuel,,60,Hatchback,,69.700,21-06-2017,5,"24,4",Benzin,5
2010,Rød,1.168,177,,Forhjul,77.000,199.997,4,48,11,6,2.520,512,"Kia Soul 1,6 CVVT Asian",Manuel,,126,Hatchback,1.300,69.500,27-08-2010,5,"15,4",Benzin,5
2015,Gråmetal,1.650,318,,4x4,60.000,4.520.375,6,68,"3,2",8,6.820,215,"Porsche 911 Turbo S 3,8 Cabriolet PDK",Automatisk,,560,Cabriolet,,12.900,24-03-2015,2,"10,1",Benzin,7
2008,Sortmetal,1.250,172,,Forhjul,93.000,198.751,4,45,"14,2",6,3.880,425,"Opel Corsa 1,3 CDTi 90 Sport MTA",Automatisk,,90,Hatchback,1.200,12.000,06-05-2008,3,"20,8",Diesel,6
2014,Gråmetal,1.158,168,,Forhjul,75.000,139.998,4,43,"13,1",6,660,402,"Kia Rio 1,2 CVVT Style+",Manuel,,86,Hatchback,900,69.500,25-08-2014,5,"21,3",Benzin,5
1998,Sølvmetal,700,140,,Forhjul,76.000,96.450,4,35,18,2,2.520,450,"Fiat Seicento 0,9 S",Manuel,,39,Hatchback,400,24.900,28-10-1998,3,"16,4",Benzin,5
2017,Sortmetal,1.945,250,,4x4,88.000,,6,70,"5,4",,4.960,555,"Audi SQ5 3,0 TFSi quattro Tiptr. Van",Automatisk,,354,Varevogn,2.400,569.900,01-11-2017,5,12,Benzin,8
2012,Sølvmetal,805,157,,Forhjul,180.000,101.988,3,35,"13,7",6,660,385,Citroën C1 Seduction,Manuel,,68,Hatchback,,29.900,28-08-2012,5,"23,3",Benzin,5
2013,Sølvmetal,1.046,168,,Forhjul,76.000,179.995,4,43,"13,1",6,660,514,"Kia Rio 1,2 CVVT Exclusive",Manuel,,86,Hatchback,900,69.500,05-03-2013,5,20,Benzin,5
2011,Koksmetal,1.552,160,,Forhjul,191.000,251.601,4,54,"16,9",6,4.680,413,"Opel Meriva 1,3 CDTi Enjoy",Manuel,,75,MPV,1.000,35.000,06-05-2011,5,"20,4",Diesel,5
2017,Sortmetal,1.945,250,,4x4,88.000,,6,70,"5,4",,4.960,555,"Audi SQ5 3,0 TFSi quattro Tiptr. Van",Automatisk,,354,Varevogn,2.400,499.900,01-11-2017,5,12,Benzin,8
2008,Orangemetal,1.025,163,,Forhjul,280.000,164.998,3,45,"14,9",6,1.880,540,"Skoda Fabia 1,2 12V Ambiente",Manuel,,70,Hatchback,800,9.900,16-05-2008,5,"16,9",Benzin,5
2019,Mørkgrå,1.847,233,,4x4,18.000,453.042,,,"4,6",6,660,333,Tesla Model 3 Long Range AWD,Automatisk,,351,Sedan,910,414.900,28-02-2019,4,"62,7",El,1
2003,Grønmetal,1.750,250,,Baghjul,217.000,2.090.000,8,80,"6,3",6,10.520,400,"Mercedes SL500 5,0 aut.",Automatisk,,306,Cabriolet,1.500,199.800,02-01-2003,2,"7,9",Benzin,5
2012,Sortmetal,1.456,168,,Forhjul,368.000,317.295,4,60,13,6,5.540,619,"VW Caddy 1,6 TDi 102 Comfortline DSG BMT",Automatisk,,102,MPV,1.500,94.900,02-04-2012,4,"18,5",Diesel,7
2014,Brunmetal,1.065,178,,Forhjul,137.000,244.989,4,53,"12,8",6,2.180,675,"Peugeot 308 1,6 HDi 92 Active",Manuel,,92,Hatchback,1.300,89.800,23-07-2014,5,"27,8",Diesel,5
2016,,1.395,196,,4x4,140.000,408.500,4,48,"8,8",6,3.140,695,"Jeep Renegade 1,4 M-Air 170 Limited aut. AWD",Automatisk,,170,SUV,1.000,214.900,31-05-2016,5,"14,5",Benzin,9
2015,Koksmetal,860,157,,Forhjul,175.000,99.989,3,35,"14,3",6,660,380,"Citroën C1 1,0 e-VTi 68 Feel",Manuel,,68,Hatchback,,44.900,27-03-2015,5,"26,3",Benzin,5
2008,Hvid,1.486,240,,Forhjul,293.000,493.499,5,70,"7,7",7,6.200,809,"Ford Mondeo 2,5 20V Turbo Titanium stc.",Manuel,,220,Stationcar,1.800,44.995,04-03-2008,5,"10,8",Benzin,6
2015,Sølvmetal,1.305,213,,Forhjul,185.000,416.544,4,50,"8,4",6,3.020,585,"Audi A3 2,0 TDi 150 Ambition SB S-tr.",Automatisk,,150,Hatchback,1.600,159.900,13-04-2015,5,"22,7",Diesel,6
1997,,1.195,177,,Forhjul,0,299.013,4,55,"13,7",4,7.380,510,"Audi A3 1,9 TDi Ambiente aut.",Automatisk,,90,Hatchback,1.500,14.900,10-12-1997,3,"16,1",Diesel,4
2019,Sort,1.847,261,,4x4,30.000,464.792,,,"3,4",6,660,458,Tesla Model 3 Performance AWD,Automatisk,,462,Sedan,,419.900,12-02-2019,4,"66,5",El,1
2012,Koksmetal,835,162,,Forhjul,133.000,109.991,4,35,"13,2",6,660,470,"Fiat Panda 1,2 69 Fresh",Manuel,,69,Hatchback,800,32.900,10-01-2012,5,"20,4",Benzin,5
2014,Sølvmetal,1.470,180,,Forhjul,157.000,326.993,4,45,"10,9",6,660,345,"Toyota Auris 1,8 Hybrid H2+ Comfort CVT",Automatisk,,136,Hatchback,385,109.900,01-01-2014,5,"27,8",Benzin,5
2010,Koks,2.295,210,,4x4,288.000,,6,100,"8,5",8,13.180,725,"Audi Q7 3,0 TDi 240 quattro Tiptr. 7prs",Automatisk,,240,SUV,3.500,179.900,25-11-2009,5,11,Diesel,6
2014,Hvid,1.428,190,,Forhjul,96.000,239.561,4,60,"11,3",6,3.020,387,"Citroën DS4 1,6 e-HDi 115 Style E6G Van",Automatisk,,115,Hatchback,1.300,99.700,17-07-2013,5,"22,7",Diesel,6
