,Unnamed: 0,Hestekræfter,Brændstoftype,Biltype,Gearkasse,Årgang,Kilometer,Model,Pris,Link,Sidst synet,Farve,Registreringsdato,Antal døre,Antal gear,Cylindre,Trækhjul,Max påhæng,Tank,Km/l,0 - 100 km/t,Tophastighed,Vægt,Lasteevne,Airbags,Grøn Ejerafgift,Nypris,Nummerplade,Make
0,0,68,Benzin,Hatchback,Manuel,2010,147200,"Aygo 1,0 AYGO 5-DØRS 1.0 HB 5-DØRS",32800,/toyotaaygo10aygo5doers10hb5doers/id880200,,,,,,,,,,,,,,,,,,,Toyota
1,1,,,,,2005,100000,"124 Spider 0,5",50000,/abarth124spider05/id855091,01012005,,,,,,,,,,,,,,,,,,Abarth
2,2,204,Diesel,Stationcar,Automatisk,2016,225000,"C250 d 2,2 Avantgarde stc. aut.",269700,/mercedesc250d22avantgardestcaut/id880182,,Sortmetal,16102015,5,7,4,Baghjul,1800,50,"22,2","6,9",241,1660,575,7,3880,,,Mercedes
3,3,102,Benzin,Hatchback,Manuel,2009,157000,"Swift 1,5 GLX",29900,/suzukiswift15glx/id880174,,Lysgrønmetal,05082009,5,5,4,Forhjul,1000,45,"16,4",10,185,975,500,6,2520,169990,,Suzuki
4,4,140,Benzin,Stationcar,Manuel,2012,129000,"Insignia 1,8 Edition ST",89900,/opelinsignia18editionst/id880172,,Koksmetal,23022012,5,6,4,Forhjul,1400,70,"12,8","12,2",202,1538,632,8,4360,346175,,Opel
5,5,333,Benzin,Coupe,Manuel,2004,131000,"645Ci 4,4 Coupé",[,/bmw645ci44coupe/id880181,,Champagnemetal,27052004,2,6,8,Baghjul,,70,"8,7","5,6",250,1590,475,6,9300,1482801,,BMW
6,6,100,Diesel,Hatchback,Manuel,2016,158000,"C4 Cactus 1,6 BlueHDi 100 Challenge",99900,/citroenc4cactus16bluehdi100challenge/id880173,,Koksmetal,23012017,5,5,4,Forhjul,870,50,"32,3","10,7",184,1070,540,6,260,199990,,Citroën
7,7,163,Diesel,Hatchback,Manuel,2012,70000,"Cruze 2,0 VCDi 163 LT",69900,/chevroletcruze20vcdi163lt/id880171,,Sølvmetal,30122013,5,6,4,Forhjul,1200,60,"17,9","8,5",205,1480,513,6,5540,244995,,Chevrolet
8,8,95,Diesel,Hatchback,Manuel,2007,244000,"Lacetti 1,4 Person bil",13900,/chevroletlacetti14personbil/id880170,01122020,,,,,,,,,,,,,,,,,,Chevrolet
9,9,136,Diesel,Stationcar,Manuel,2015,185000,"C200 1,6 BlueTEC stc.",169700,/mercedesc20016bluetecstc/id880180,,Koksmetal,29122014,5,6,4,Baghjul,1600,41,"23,3","10,1",214,1545,575,7,3020,568502,,Mercedes
10,10,110,Diesel,Stationcar,Manuel,2016,106000,"Megane III 1,5 dCi 110 Limited Navi Style ST",[,/renaultmeganeiii15dci110limitednavistylest/id880179,,Koksmetal,02062016,5,6,4,Forhjul,1500,60,"27,8","12,4",190,1340,524,6,2180,243400,,Renault
11,11,88,Diesel,4x4,Manuel,2000,324000,"Grand Vitara 2,0 Varebil",13900,/suzukigrandvitara20varebil/id880169,01022020,,,,,,,,,,,,,,,,,,Suzuki
12,12,110,Diesel,Stationcar,Manuel,2005,292000,"407 1,6 HDi XR SW",14700,/peugeot40716hdixrsw/id880178,,Champagnemetal,07012005,5,6,4,Forhjul,1500,66,"17,9","13,7",189,1475,650,6,6540,307689,,Peugeot
13,13,150,Diesel,Stationcar,Automatisk,2015,182000,"Passat 2,0 TDi 150 Comfortl. Vari. DSG",159700,/vwpassat20tdi150comfortlvaridsg/id880177,,Sølvmetal,05062015,5,6,4,Forhjul,2000,66,"22,2","8,9",216,1541,479,6,3880,489099,,VW
14,14,150,Diesel,Hatchback,Automatisk,2016,243000,"Superb 2,0 TDi 150 Ambition DSG",169700,/skodasuperb20tdi150ambitiondsg/id880176,,Koksmetal,04032016,5,6,4,Forhjul,2000,66,"22,2","8,9",218,1400,645,7,3880,436000,,Skoda
15,15,110,Diesel,SUV,Manuel,2017,66000,"Qashqai 1,5 dCi 110 N-Connecta",179900,/nissanqashqai15dci110nconnecta/id880187,,,04112016,5,6,4,Forhjul,1350,55,"26,3","12,4",180,1285,625,6,2180,298790,,Nissan
16,16,120,Diesel,MPV,Manuel,2016,172000,"S-Cross 1,6 DDiS Exclusive",79700,/suzukiscross16ddisexclusive/id880175,,Blåmetal,31032016,5,6,4,Forhjul,1500,47,"23,8",12,180,1315,555,7,3020,253538,,Suzuki
17,17,115,Benzin,SUV,Automatisk,2015,127000,"Qashqai 1,2 Dig-T 115 N-Tec X-tr.",139900,/nissanqashqai12digt115ntecxtr/id880186,,,15052015,5,1,4,Forhjul,1000,55,"17,9","12,9",173,1332,548,6,1880,345305,,Nissan
18,18,112,Diesel,SUV,Manuel,2011,194000,"Countryman Cooper 1,6 D 112",119900,/minicountrymancooper16d112/id880185,,,28042011,5,6,4,Forhjul,,47,"22,7","10,9",185,1285,495,6,3020,369698,,Mini
19,19,105,Diesel,MPV,Manuel,2006,423000,"Altea 1,9 TDi 105 Stylance Van",6400,/seataltea19tdi105stylancevan/id880155,,Hvid,03102006,5,5,4,Forhjul,1400,55,"11,6","12,3",183,1380,645,6,5350,174945,,Seat
